,L0,L1,L2,L3,P1,P0,C1,S1,GA1,GB1,P2,C2,S2,GA2,GB2
L0,0.0,0.05210595958454434,0.0020460827743971066,0.010470412206176505,0.0,0.0056445560705871145,0.003625409978405658,0.005488322854929617,0.0016758312461533365,0.02169059225899206,0.0,0.002615143147591814,0.0,0.008162449011701156,0.0
L1,0.042268820554197895,0.0,0.18163962647464604,0.15306574109371773,0.21179956332204153,0.002265550929131166,0.003872632018756761,0.0305256622884027,0.27873837856374006,0.16990486162301188,0.10888650877128381,0.0012454260205680967,0.02804713640376466,0.3106696663926085,0.16130700678440757
L2,0.014622171011295926,0.17550274714117986,0.0,0.018512737325273143,0.0829739087745045,0.0038417696314567706,0.0,0.0038084792784420785,0.03996199686578272,0.026806936002901516,0.011627831614934081,0.0012617841659343654,0.006582742028134803,0.025128585378465296,0.03183915062945708
L3,0.004271304237129847,0.14578151571365083,0.03068152232088206,0.0,0.0548453909142923,0.0,0.005740696257440447,0.0039841619367777525,0.07355745971637528,0.032956303533788756,0.01739634449479155,0.007843579097115416,0.004876208116703751,0.05784067291135919,0.040990911915465666
P1,0.0,0.22225035436733354,0.07467423555711239,0.05138185656710359,0.0,0.6860990973867,0.01679394352384378,0.01720518510285096,0.1237059976615873,0.08939065003667146,0.08789124815417093,0.0,0.0,0.11188031507851637,0.07561945481873522
P0,0.0,0.0,0.005189183762815297,0.008065354054180407,0.686689445104764,0.0,0.0,0.0,0.0026897889077224235,0.0,0.005966575470697677,0.0,0.0,0.0,0.0
C1,0.006333316026010394,0.0026412588847222196,0.0,0.00490083076440051,0.016687852213773446,0.0,0.0,0.0572881473179816,0.0,0.017035054921375803,0.011658709541694456,0.007884688632680437,0.0,0.0039715450042123734,0.0
S1,0.0,0.02250122612805061,0.0027112702235649877,0.010113669870286834,0.008414719281285787,0.005675884976882095,0.05589193546794036,0.0,0.0,0.013331324566442149,0.0038749269336104675,0.0,0.047749642463256414,0.009438851803340143,0.0
GA1,0.012779204071700967,0.3001610562197059,0.031217427805574793,0.06834719929930166,0.10413762782479541,0.0,0.0,0.001537200126370486,0.0,0.1497099552712431,0.07133822918841126,0.005812212478346179,0.007435453937288727,0.21070125037689458,0.08930830603816098
GB1,0.0026092144804357176,0.1742052722384697,0.020704466046642445,0.041851876977704094,0.09249978758443111,0.0025876508625035655,0.017892833559077115,0.006224754972126156,0.13891639008266932,0.0,0.05939953230666806,0.002621677213943574,0.01815499835584955,0.09343703886640142,0.08632459767291856
P2,0.011337410400539483,0.10588177320779835,0.03518810800939498,0.02929317885105842,0.08700833056828738,0.007803447792907647,0.012806673399880175,0.008454731615037403,0.06796303806685255,0.057021972645876495,0.0,0.004139551400540675,0.008336164266379065,0.06940125749337067,0.05398167402250298
C2,0.0015187926248412253,0.0020419092009476003,0.0007781125245349685,0.0075140854850968,0.00065270569078546,0.0,0.008006524404629012,0.0,0.0025149944589193396,0.0028513001199925725,0.0036074834656458776,0.0,0.04844114965175628,0.0,0.025927735684409647
S2,0.0,0.027694116750319964,0.0,0.004773843971026537,0.0011648234072638708,0.0,0.0005441072885274956,0.04426258544413031,0.007826546703566528,0.0,0.0,0.04875988951429466,0.0,0.01318126980722667,0.0113925345379835
GA2,0.01201072959106142,0.3261734409708037,0.03246899369693512,0.07816705858719786,0.11657453336211887,0.011925181520875405,0.004428965043834943,0.015952406739795144,0.22455708186461543,0.11127698583126922,0.07357750306675914,0.0,0.0,0.0,0.13795604561791386
GB2,0.00587706522585929,0.17206560375860125,0.022037522996816605,0.04468320043585461,0.06628723212869136,0.0,0.0,0.002757252854649117,0.09972290952830498,0.0848025020277774,0.055824724114490465,0.0252052941514167,0.009427196409600214,0.1314606736498689,0.0
